AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
193753739490,48660795480,40820331820,36460724400,142031323650,158615548080,61686965700,33373924680,164503797750,88977312560,48750812040,173986717350,115299360000,178458588000,175896421900,132172004240,67751359860,58774673160,113046156760,274808794950,25598248500,152756316480,178576382080,27214839130,36638396010,67155918570,41337043020,94536765440,206625627560,327210746700
194088718620,48553770270,42157273980,36896634000,141398539300,159739058160,61533084900,34860768480,165355597350,90550403480,49107898560,171884952550,115244140000,176389263000,179303517120,130573149350,67233350100,58406535000,113504328160,274897586160,25700093100,150577541760,178634816760,26570118990,36580295160,66152751840,40863360090,94707204320,204568134680,328488359160
191001478530,49338621810,43436088220,37008725040,140478125700,159759120840,61206088200,35478380520,164503797750,89583929320,48937857360,170768390000,114857600000,177823995000,180288701280,130526805730,66316041150,59234845860,115031566160,273210553170,25543409100,150093369600,177787513900,26193121620,36940520430,65805862410,40314638280,90673484160,204110914040,331327497960
190648392420,49921314620,45194457800,37158179760,141110910050,159157240440,61225323300,35501255040,173021793750,91336948940,49515997440,170177268650,113753200000,176554809000,183859993860,130202400390,66801675300,59277323340,115214834720,270386992692,26172872700,149528502080,176823341680,26570118990,38358181170,66087124110,40689832680,90133761040,204225219200,330286480400
191915881020,49885639550,44758498400,37575407520,141858746100,159438117960,61321498800,35627064900,176748417000,89609633420,49277939760,171884952550,115023260000,177161811000,183408451120,127792532150,66736924080,59695018560,115153745200,272233849860,26121202640,150738932480,176589602960,26531872880,37997955900,66218379570,40802391000,90190574000,203196472760,328961548960
190222878390,49314838430,44228081130,39935546640,141456065150,162266955840,60321273600,35181011760,178452016200,88195907920,47883601920,170085316440,115685900000,177189402000,182792711020,130387774870,67254933840,59454312840,115611916600,268770992670,25799258420,151949362880,175888386800,26520945420,38253599640,67652814240,40685142750,90559858240,206549424120,332652429400
188059094280,49968881380,43908377570,38758590720,139212557000,161324009880,59282578200,35295384360,178558491150,86273241240,47577527760,171438327530,113797376000,178127496000,178523579660,131801255280,67621857420,59503869900,114695573800,266995168470,25763486840,151465190720,177904383260,26690321050,37242644850,67259047860,40492855620,90645077680,208530713560,330996265100
190930210900,50123473350,44438794840,38814636240,141743694400,160100186400,60186627900,35169574500,179197340850,86915843740,47832589560,171070518690,115741120000,179258727000,181643329500,132148832430,67546314330,59312721240,118910750680,269481322350,25994014800,155015786560,179745075680,26783204460,37812033180,68027829840,40868050020,90531451760,209597561720,329671333660
189824419980,50753732920,44729434440,38596681440,143526995750,159598619400,59667280200,34917954780,177813166500,86638239460,48121659600,173802812930,118612560000,179617410000,183449500460,132380550530,67611065550,59114493000,122148495240,274897586160,25831055380,156387607680,179920379720,26925261440,38718406440,68262214590,41008747920,88685030560,206549424120,329718652640
186652068980,50408873910,44191751180,37438407360,140363074000,158956613640,58859406000,34300342740,175044817800,84931487220,48580770840,173106603340,114857600000,178127496000,179303517120,130434118490,67211766360,59022458460,120560167720,274009674060,25592578180,157275256640,177699861880,26657538670,39218073750,67493432610,40399057020,86867015840,204530032960,327021470780
194909245440,51086700240,44068229350,37942817040,142951737250,159859434240,59648045100,35089513680,176109567300,85779722520,49107898560,176206706420,116238100000,180307185000,170609760000,130735352020,68506790760,60261384960,124072815120,276140663100,25719766020,161390720000,180329422480,27007217390,40821657210,67774694310,41201035050,88713437040,205863593160,327778574460
191904575850,51110483620,43741259800,37214225280,140420599850,156789844200,59994276900,34723521360,175683667500,86257818780,48733807920,171096790750,116403760000,179755365000,171082800000,128603545500,67999572870,59978201760,125325150280,271567915785,25509111160,160906547840,176618820300,26734030890,40147687350,66968410770,40999368060,87236300080,205215863920,321911020940
188593547792,50135365040,43014660800,35402086800,137946988300,152957872320,58878641100,32790624420,170572869900,82700371340,48427733760,169454787000,115078480000,176499627000,159808680000,125985130970,68204618400,58548126600,122423398080,266462421210,25294481680,155257872640,174836562560,26744958350,38462762700,65749610070,39606458850,87009048240,201634302240,315617596600
179237831500,45999280000,41975624230,33782994000,132136877450,149647530120,57666829800,31749833760,171531144450,79230317840,47135420640,164857176500,109943020000,174375120000,154368720000,125683897440,68409663930,57684417840,118727482120,257139344160,25032156760,152998402560,176209777540,26395279630,38532483720,64765194120,38799790890,86185260320,201710505680,312778457800
184064336950,45045680000,41982890220,34337221920,132251929150,149567279400,57551419200,32493255660,174299493150,79672428360,46965379440,165671610360,112207040000,174430302000,154565820000,125938787350,68085907830,57932203140,118391489760,260335827720,25306405540,152110753600,177144732420,26712175970,38346561000,64305800010,38471495790,87151080640,201481895360,311595483300
186745362300,45415200000,41932028290,34779358800,131734196500,148764772200,57410073960,32127263340,174086543250,77564692160,47152424760,165185577250,110440000000,173243889000,151530480000,125452179340,68862922470,57790611540,117841684080,261934069500,25334227880,151545886080,177320036460,27444315790,37695831480,64193295330,38058781950,85702350160,204263320920,311926716160
188508171780,46094640000,44998276070,33278584320,133172342750,147861951600,56751967920,32298822240,173554168500,77883423000,47339470080,165947466990,111765280000,175037304000,155038860000,126309536310,68776587510,58264943400,118024952640,263443520070,25437568000,153321184000,177670644540,26483270000,38625445080,63387011790,39353202630,84711320000,203463184800,310128594920
180715175550,44616560000,45456033440,32294674080,129548214200,146939068320,56810036100,31303780620,172063519200,78803629780,46489264080,162558371250,109998240000,176030580000,155630160000,125544866580,67805319210,57167608500,115978453720,258915168360,25246786240,150335455680,179155296240,26155481000,38846228310,63162002430,38762271450,83179880000,200453148920,307384094080
174161768085,44890720000,44031899400,32531310720,129260584950,144692048160,57197157300,30983537340,171211719600,76454275040,47628540120,160771871170,107126800000,173437026000,153501480000,125707069250,67373644410,57196113510,116619893680,247151590980,25338202500,150577541760,178777699150,26363601000,38346561000,63265131720,38471495790,83435120000,203577489960,304876188140
176580190350,45546320000,44831158300,32967220320,130756257050,147621199440,57139089120,32744875380,173021793750,78721376660,48274696680,163766886010,108286420000,174071619000,156221460000,126008302780,68949257430,57160583560,116986430800,249168797010,25477314200,151626581440,180055720070,26374007000,38497623210,63330759450,39235954380,83973960000,203767998560,313157009640
177604868700,46511840000,45005542060,33347084400,132424506700,149366652600,58029467880,31532525820,179410290750,80680029080,49362960360,164896584590,109943020000,176554809000,159848100000,127560814050,69100343610,57153477570,120773981040,249607320060,25409745660,155257872640,182698899700,26582127000,39566678850,63780778170,39400101930,84314280000,203806100280,316847890080
180660767850,45689360000,44656774540,33247447920,132712135950,146878880280,59519884500,31543963080,177600216600,80829112860,48410729640,165067352980,108672960000,175561533000,158823180000,127143721470,70373784270,57913818500,118269310720,251098298430,25437568000,150254760320,181972751450,26311571000,38718406440,63977661360,39170295360,82782840000,206778034440,315144406800
174149979750,44735760000,43101852680,32008219200,133229868600,143187347160,57429430020,30434548860,170785819800,77461875760,47492507160,161573169000,105028440000,172830024000,151175700000,123806980830,69132719220,56286546790,113321059600,244169634240,24678415580,145493734080,178342010200,25874519000,37719071820,62233838820,38973787050,81194680000,201824810840,306248438560
177242150700,45117200000,42433381600,32226174000,136336264500,142806156240,57177801240,30331613520,168123946050,79250881120,47577527760,162256242560,107513340000,172830024000,150978600000,123019139290,68388080190,55810445460,112190903480,245748317220,24523405400,144928866560,178051550900,26160684000,37812033180,62346343500,38743839360,81506640000,203653693400,306626990400
176027045400,43853680000,42062816110,31622127840,135179994915,140699574840,57061664880,29942746680,166100922000,77677790200,48614779080,160101933640,106850700000,172085067000,148613400000,121999579650,67902446040,55092740470,111763276840,243117178920,24364420600,143960522240,177209218930,25520715000,37660970970,61315050600,38973787050,80457320000,201672403960,304497636300
